date,open,high,low,close
20141107,80,81,79.75,80
20141106,75.75,77,75.25,77
20141105,75.75,76.25,75,75.5
20141104,75,75.5,75,75.5
20141103,74.75,75.5,74,74.75
20141031,74,74.5,73.75,74.5
20141030,73.5,74.25,73,74
20141029,73.5,74,73.25,73.75
20141028,72.5,73.75,72.25,73.5
20141027,71.25,72.5,71,71.75
20141024,72,72.25,69.25,71
20141022,73,73,72,72
20141021,73.75,74,73,73.5
20141020,73.5,74,72.5,73.75
20141017,73.5,73.5,72.5,73
20141016,73,73.5,72.5,72.5
20141015,74,74,73,73.5
20141014,74,74.5,72.75,73.5
20141013,73.5,74,72.5,72.5
20141010,72.5,74.25,72.25,73.5
20141009,74.75,74.75,71.5,72.5
20141008,75,75,73.25,74.25
20141007,73.25,74.75,73.25,74.5
20141006,73.75,74.5,73,73.75
20141003,74.5,74.75,72.25,72.75
20141002,74.5,74.75,73.75,74.75
20141001,74.25,74.5,73.75,74.5
20140930,73.5,74.5,73,74
20140929,74,74,72.5,73.25
20140926,73.25,74,72.5,73.75
20140925,72.25,73.25,71.5,73.25
20140924,72,72.5,71.25,71.5
20140923,72,72,71.5,71.75
20140922,70.25,71.75,70,71.5
20140919,71,71,69.5,70
20140918,71.25,71.75,70.5,70.75
20140917,70.75,72,70.5,71
20140916,70.75,70.75,70.25,70.5
20140915,70.5,70.75,69.75,70
20140912,71,71,70,70.5
20140911,70,71,69.75,70.5
20140910,70,70,69.25,69.75
20140909,70.5,71,69,69.75
20140908,71,71,70.5,70.75
20140905,70.75,71,70.5,71
20140904,70.25,71,70,70.75
20140903,70,70.75,69.75,70.5
20140902,70.5,70.75,69.75,70
20140901,69.5,70.75,69.25,70.25
20140829,69.25,69.5,68.75,68.75
20140828,67.75,69.75,67.5,69
20140827,67.75,68,67.25,67.5
20140826,67,67.75,67,67.5
20140825,67.75,67.75,66.75,67
20140822,68.75,69,68.25,68.5
20140821,68.75,69,68,68.25
20140820,69,69,68.5,69
20140819,69,69,68.5,68.75
20140818,69,69,68.5,68.5
20140815,68,69,67.5,69
20140814,68,68,67.25,67.5
20140813,67,68,66.75,68
20140808,66.5,66.75,66,66.75
20140807,66.5,67,66,66.5
20140806,65.5,66.5,65.5,66
20140805,66.25,66.75,66,66
20140804,66.25,67.5,66.25,66.5
20140801,65.25,66.25,65,66.25
20140731,66,66.25,65.25,65.5
20140730,67.25,67.25,66,66
20140729,67.75,68,67,67
20140728,66.5,68,66.5,67.5
20140725,65,66.25,64.75,66.25
20140724,64.75,66,64.75,65
20140723,65.25,65.25,64.5,64.5
20140722,65,65.5,65,65
20140721,65,65.5,65,65
20140718,65.5,65.75,65,65
20140717,66.5,66.75,65.75,65.75
20140716,65.5,66.75,65.25,66.75
20140715,65.5,65.5,64.75,65.5
20140714,65.75,65.75,65.25,65.5
20140710,66.5,66.5,65.25,65.75
20140709,66,66.25,65.5,66
20140708,67,67,66,66
20140707,67,67,65.75,66
20140704,65.5,67.5,65.5,66
20140703,65,66,64.5,65.25
20140702,65,65.5,64.75,65
20140630,65.25,65.75,64.5,65
20140627,65.5,66,65,65.25
20140626,65.75,65.75,65.25,65.25
20140625,65.25,66,65,66
20140624,64.25,65.25,64.25,65
20140623,65.75,66,64.25,64.25
20140620,66.25,66.75,66,66.75
20140619,66.5,67,65.75,66.75
20140618,66.75,66.75,65.5,66
20140617,65.75,66.75,65.5,66.25
20140616,64.5,66.25,64.5,65.5
20140613,66,66.75,64.25,65
20140612,68,68,65.75,66
20140611,68,68.5,67.75,68.25
20140610,69.25,69.25,68,68.25
20140609,68.75,69,68.25,68.5
20140606,69.5,69.5,68.5,68.75
20140605,69,69.25,68.5,69
20140604,69,69,68.5,69
20140603,68.75,69.5,68.5,69
20140602,68.5,68.75,68,68.75
20140530,68.25,69.25,68,68
20140529,68.25,68.5,67.5,68.25
20140528,67,68.25,67,68
20140527,67,67.5,66.75,67
20140526,67.25,67.5,66.75,67
20140523,67,67.75,66.75,67.5
20140522,68.5,69,67.25,67.25
20140521,67.5,68.25,67.5,68
20140520,68.75,68.75,67,68
20140519,68.5,70.25,68.5,69.25
20140516,69.25,69.75,68.5,68.75
20140515,70.25,71.25,69.25,69.5
20140514,69.5,71.25,69.5,70.75
20140512,70,70.5,69.75,70.25
20140509,70.5,70.75,69.5,70.75
20140508,69.25,70.5,69,70.5
20140507,68.75,70.25,68.75,69.5
20140506,71,71,69.75,70.5
20140502,70.5,71,70.25,70.5
20140430,69.25,70.5,69,70
20140429,69.75,69.75,69,69
20140428,69,70,69,69.75
20140425,71,71.25,69,69.25
20140424,70,71,70,70.5
20140423,69,70,69,69.75
20140422,69.5,69.5,68.75,69
20140421,69,69.5,68.75,69
20140418,69.5,69.5,68.75,68.75
20140417,69,69.5,69,69.5
20140416,69,69.5,68.75,69
20140411,68,69,68,68.5
20140410,69,69,68,68.25
20140409,68,68.75,68,68.25
20140408,68.75,69,67.75,68
20140404,69,69,68.75,69
20140403,68.75,69.25,68.75,69
20140402,69,69,68.5,68.75
20140401,69,69.25,68.5,68.5
20140331,68.75,69.25,68.5,68.75
20140328,68.5,69,68.25,68.5
20140327,67.75,69.25,67.25,68.5
20140326,67.5,68,67,67.5
20140325,67,67,66.5,66.75
20140324,67.5,67.75,66.25,67
20140321,66.5,67.5,66.5,67.5
20140320,66.25,67.25,66,66.25
20140319,67.75,67.75,66.25,66.75
20140318,66.75,67.75,66.5,67.75
