date,open,high,low,close
20141107,35,35.25,34.75,35
20141106,35,35,34.75,35
20141105,35,35.25,34.75,34.75
20141104,35.25,35.25,34.75,35
20141103,35.25,35.25,34.75,34.75
20141031,34.5,35.25,34.5,35.25
20141030,34.75,35,34.5,34.75
20141029,34.75,35,34.5,34.75
20141028,34.75,35.25,34.25,34.75
20141027,35,35.25,34.75,35
20141024,35,35.25,34.75,35
20141022,35,35.25,34.75,35
20141021,34.75,35,34.5,34.5
20141020,35,35.25,34.5,34.75
20141017,34.75,35.25,34.25,34.5
20141016,35,35,34.5,34.5
20141015,35,35.25,34.75,35.25
20141014,35,35.25,34.75,34.75
20141013,35,35,34.25,34.5
20141010,35,35.5,35,35
20141009,35,35.5,34.75,35.5
20141008,34.25,35,34.25,34.5
20141007,34,35.75,34,34.5
20141006,36.5,36.5,34.5,34.5
20141003,36.5,36.5,35.5,36.25
20141002,36.5,36.75,36,36.5
20141001,36.5,36.75,36.5,36.75
20140930,37,37,36.25,36.25
20140929,36.5,37.25,36.25,36.75
20140926,37,37,36.5,36.5
20140925,37,37.25,37,37
20140924,37,37.25,36.5,36.75
20140923,37,37.5,36.75,37
20140922,37,37.5,37,37
20140919,37.75,38,37,37
20140918,36.75,37.5,36.75,37.5
20140917,36.5,36.75,36.25,36.75
20140916,37.25,37.25,36.25,36.25
20140915,36.75,37.25,36.5,37
20140912,36.25,36.75,36.25,36.25
20140911,36.75,37.25,36.25,36.25
20140910,37,37,36.25,36.75
20140909,37.5,37.75,36.75,37
20140908,38,38.75,37.5,37.5
20140905,37,37.75,36.75,37.25
20140904,36.75,37.5,36.75,37
20140903,37.75,38,36.75,36.75
20140902,36,37.5,35.75,37.25
20140901,35.5,36,35.5,35.5
20140829,35.75,36,35.25,35.25
20140828,35.75,36,35.5,36
20140827,35.75,36.25,35.5,36
20140826,36,36,35.5,35.75
20140825,37,37,36.5,37
20140822,37.25,37.25,36.5,37
20140821,37.75,37.75,36.75,37
20140820,37,37.5,36.75,37.5
