date,open,high,low,close
20141107,74,74.25,73.5,73.5
20141106,74.25,74.75,73.75,74
20141105,74.25,74.5,73.75,74
20141104,74.5,74.75,74,74.25
20141103,74.5,74.75,74,74
20141031,73.75,74.25,73.5,74
20141030,73.75,74,73.5,73.5
20141029,74,74.75,73.5,73.75
20141028,73.25,74.25,73.25,73.5
20141027,72.25,73.25,71.75,73.25
20141024,72.25,72.75,71.75,72
20141022,71.25,72.25,71,72.25
20141021,71,71.25,70.75,71
20141020,71,71.5,70.75,71
20141017,70.75,71.25,70.25,70.75
20141016,70.75,71.25,70.5,70.5
20141015,71,71.25,70.75,71
20141014,70.5,71.25,70.5,70.75
20141013,71,71.25,70.5,70.5
20141010,71,71.5,70.75,71
20141009,71.75,71.75,71,71.75
20141008,70.75,71.5,70.5,71
20141007,71.25,72,71,71
20141006,72,72.25,70.75,71.25
20141003,71.25,72,70.5,71.75
20141002,72.5,72.5,71,71.25
20141001,72.5,73.5,72.5,72.5
20140930,72.5,72.75,72,72.5
20140929,73.75,73.75,72.25,72.5
20140926,73,73.5,72.5,73.5
20140925,73.75,74,73,73
20140924,72.25,73.25,72,73.25
20140923,71,71.75,71,71.5
20140922,70,71,70,70.75
20140919,69.5,70,69.25,69.75
20140918,69.25,69.75,69,69.5
20140917,69.25,69.5,68.75,69.25
20140916,69.5,69.75,69,69
20140915,69.75,70,69.5,69.5
20140912,70.5,70.75,69.75,69.75
20140911,70.75,71.25,70.25,70.5
20140910,69,70.75,68.75,70.25
20140909,69,69.25,68.75,68.75
20140908,69,69.25,68.5,68.75
20140905,69.25,69.5,68.75,69
20140904,69.25,69.5,69,69
20140903,68.75,69.25,68.75,69
20140902,69.25,69.5,68.75,68.75
20140901,69,69.5,69,69
20140829,68.5,69,68.25,68.75
20140828,69.25,69.5,68.5,68.75
20140827,69,70,68.5,69
20140826,69.75,70,69,69
20140825,70,70.25,69.75,69.75
20140822,70,70.25,69.75,70
20140821,72.25,72.5,71.75,72.25
