date,open,high,low,close
20141107,49,49.75,48,49
20141106,48.25,48.5,48,48.25
20141105,48.25,49,48,48.75
20141104,48.75,48.75,48,48.25
20141103,48.5,49,48.25,48.75
20141031,48,48.25,47.75,48.25
20141030,47.5,48,47.25,47.75
20141029,46.5,47.75,46.5,47.5
20141028,46.75,46.75,45.75,46
20141027,47,47,46,46.75
20141024,47.5,47.5,46.25,46.25
20141022,47.25,47.25,46.25,46.5
20141021,46.75,47.25,46.25,47.25
20141020,47,47,46,46.75
20141017,45,46.75,45,45.5
20141016,45.25,46,45,45.25
20141015,46,46.5,45.5,45.5
20141014,46.5,46.75,46,46
20141013,47.5,47.5,46.25,46.5
20141010,47,47.75,46.75,47.25
20141009,48,48.5,47,47.5
20141008,46,47.75,46,46.75
20141007,47.5,47.5,45.5,47
20141006,47.5,47.75,47,47.5
20141003,47.75,48,47,47.5
20141002,47,47.25,46.5,47.25
20141001,47.5,48,47,47
20140930,47.25,47.75,47,47
20140929,47,48,47,47.25
20140926,48.25,48.25,47.25,47.25
20140925,47.25,48.5,47,48.25
20140924,48.25,48.25,46.75,47.25
20140923,50,50,48.25,48.75
20140922,45.75,47.75,45,47.5
20140919,46.75,46.75,45,45
20140918,45,46.5,44.75,46.25
20140917,44.75,45.5,44.5,45
20140916,45.5,45.5,45,45
20140915,47,47,45,45
20140912,45.25,45.75,45,45.5
20140911,45.5,45.5,45,45.25
20140910,46.25,46.5,45.25,45.5
20140909,46.5,47.5,45.75,47
20140908,45.75,46.5,45.5,46
20140905,45.5,46,45,45.75
20140904,45.5,45.75,45.25,45.75
20140903,45.5,45.5,44.25,45.25
20140902,45.75,46.25,45.25,45.5
20140901,47.25,47.5,45.75,46.5
20140829,47,47.5,46.75,47.5
20140828,47,47.5,47,47.25
20140827,48,48.25,47,47
20140826,47,48.25,46.75,47.75
20140825,46,47.25,45.75,46.5
20140822,46,46.25,45.5,46
20140821,45.75,46.25,45.5,46.25
20140820,46.5,46.5,45.5,46.25
20140819,46.5,46.75,46,46.5
20140818,47.75,47.75,47,47.25
20140815,47,47.5,46.75,47.5
20140814,47.25,47.5,46,46.75
20140813,46.5,47.25,46.5,47.25
20140808,45,46,45,45.5
20140807,45.75,46,44.5,45
20140806,47.75,47.75,46,46
20140805,48.25,48.25,47.75,47.75
20140804,48.5,49.25,48,48.5
20140801,49,49.5,48.5,48.5
20140731,48,50,48,50
20140730,48.5,49,47.75,48.5
20140729,49.25,49.75,48.5,49
20140728,50.25,50.75,49.5,49.5
20140725,50.5,50.75,49.75,50.25
20140724,50.75,51.5,50.5,50.75
20140723,50,51.5,49.75,51.25
20140722,50.5,51,50.25,50.25
20140721,51.75,52,50.25,50.25
20140718,52.25,52.25,51.5,51.75
20140717,51.5,52.5,51.5,52.5
20140716,51.25,53,51.25,51.75
20140715,52.5,52.5,51.5,51.5
20140714,52,52.5,51.5,52.5
20140710,52,52,51.5,51.75
20140709,51.75,52,51.5,51.5
20140708,50.75,51.75,50.5,51.5
20140707,50.5,50.75,50.25,50.5
20140704,50.75,50.75,50,50
20140703,49.25,50.75,49,50.25
20140702,48.5,49,48.25,49
20140630,48.75,48.75,48,48.75
20140627,48,49,47.75,48.75
20140626,48.75,48.75,47.5,48.25
20140625,48,48.25,47.5,48.25
20140624,48.25,48.25,47.25,47.5
20140623,48,48.5,47.75,47.75
20140620,48,48.5,47.5,47.5
20140619,48,48.5,47.75,48
20140618,48.75,48.75,47.75,48
20140617,48.75,48.75,48,48.5
20140616,48.25,49,48,49
20140613,48.25,48.5,48,48.5
20140612,48,49,48,48.25
20140611,50,50,47.75,48
20140610,50.5,50.5,49.75,50.5
20140609,51.5,51.5,49.75,50.25
20140606,51.5,51.5,50.5,51
20140605,50,51.5,49.75,51.5
20140604,49.75,50,49.5,49.75
20140603,50,50.25,49.5,50
20140602,49,50.25,49,50.25
20140530,49.5,50.25,49,49
20140529,49.75,50,49.5,49.5
20140528,50.25,50.5,49.75,50
20140527,50.75,51.25,49.5,50
20140526,51.25,51.75,50.5,51.25
20140523,50,51.5,49.25,51.5
20140522,51.25,51.75,50.75,51
20140521,52,52.25,51.25,51.25
20140520,51,52,50.75,51.75
20140519,51.5,52.25,51.5,52
20140516,51.5,51.75,51,51.5
20140515,51.5,52.5,51.5,52
20140514,52,52.25,51.25,51.75
20140512,49.5,51.5,49.5,50.5
20140509,51.25,52,49.75,49.75
20140508,52.5,53,51.5,51.5
20140507,52.25,53.25,51.5,52.75
20140506,53,53.75,52.75,53.25
20140502,55,55,53.75,54.25
20140430,56,56,54.5,54.75
20140429,55.25,55.5,54.75,55.5
20140428,55,55.75,54.75,55
20140425,54.25,55,54.25,54.5
20140424,54.25,54.5,54,54
20140423,54.25,54.25,53.5,53.75
20140422,54.25,54.25,53.25,54
20140421,53.5,54.5,53.5,53.75
20140418,53.75,54,53.5,53.75
20140417,54.25,54.75,53.75,53.75
20140416,53.5,55,53.25,55
20140411,53,53.5,52.5,53.25
20140410,54.25,54.25,52.75,53.75
20140409,53.75,54.25,53,53.75
20140408,52.5,53.5,51,53
20140404,52.5,53,52.25,52.5
20140403,54.25,54.5,52.25,52.5
20140402,54.25,54.5,53.75,54.25
20140401,54.5,54.75,53.5,54.25
20140331,54,54.5,53.75,54.5
20140328,52.75,53.75,52.5,53.5
20140327,52,52.25,51.75,52
20140326,51.75,51.75,51,51.75
20140325,52,52,51.25,52
20140324,51.75,52.25,51.25,52
20140321,53,53,51.25,52
20140320,52.5,52.5,52,52.5
20140319,53,53.25,51.75,52.75
20140318,53.75,53.75,52.75,53.25
20140317,53.75,54,53,53.75
20140314,53,54,52.25,54
20140313,51.5,53.5,51.5,53.25
20140312,51.75,52.25,51.25,51.5
20140311,51.25,52.5,50.75,52.5
20140310,50.75,51.25,50.75,51
20140307,51.25,52,50.75,51
20140306,51.5,51.75,51,51.5
20140305,50.5,51.25,50,51.25
20140304,49.75,50.75,49.75,50.25
20140303,51,51.25,49.25,49.5
20140228,50.25,51.25,50,50.5
20140227,50.75,51,50,50.75
20140226,51,51.5,51,51
20140225,51.75,52.25,50.75,51.75
20140224,51,52.5,50.75,52
20140221,52.25,52.5,50.75,51.5
20140220,51.75,53,51.25,53
20140219,53,54,52,52
20140218,53.25,54.75,52,53.5
20140217,52.5,54.5,52.5,54
20140213,52,53.25,51.75,52.5
20140212,49.25,52.5,49.25,52
20140211,50,50.25,48.75,49
20140210,50,50.25,48.5,49.5
20140207,50,50,49.25,49.5
20140206,48.25,49.5,47.5,49.5
20140205,47.25,48.5,47.25,48.25
20140204,47,47.25,46.5,46.75
20140203,47.25,48.25,47.25,47.75
20140131,47,47.5,46.75,46.75
20140130,47.25,47.5,46.75,47
20140129,47.5,48.75,46.75,48.5
20140128,46.5,47.25,46.5,46.75
20140127,47.5,47.5,46,46.75
20140124,49.5,49.5,47.75,48
20140123,49.5,49.5,48.5,49.5
20140122,49,50,48.5,49.5
20140121,46.75,49.5,46.75,49
20140120,47.5,47.5,46.25,46.25
20140117,47.75,48.25,47,47.5
20140116,46.75,47.75,45.75,47.25
20140115,47.5,47.5,46,46.5
20140114,48.25,48.5,47,47.5
20140113,49,49.5,48,48.5
20140110,49.25,49.5,48.25,49
20140109,49.5,50,49,49.5
20140108,48,50,47.75,49.25
20140107,47.25,48.25,46.75,47.5
20140106,45.25,48.25,44.75,47.75
20140103,46,47.25,44.25,44.5
20140102,51.5,51.75,46,46
20131227,51.5,52.25,50.25,50.5
20131226,52.25,52.25,50.75,51
20131225,51.75,52.5,51.5,51.75
20131224,50.25,52.25,50.25,51.75
20131223,50.75,51.5,50.25,51
20131220,52.25,52.25,50.5,51
20131219,54.5,54.5,52,52.25
20131218,54.5,54.75,53.75,54.75
20131217,52,54.25,52,53.75
20131216,51.75,52,50.5,51.5
20131213,51.25,51.75,50.75,51.5
20131212,52.75,52.75,51.5,51.5
20131211,52.5,53.25,52.25,52.75
20131209,52.75,53.5,51.5,52
20131206,52,52.25,51.25,51.5
20131204,52.5,53.25,52.25,52.25
20131203,52.5,55,52,53
20131202,52.75,52.75,51.75,52.5
20131129,52.25,53,52,53
20131128,54,54.25,52.75,53
20131127,52,54.75,52,54
20131126,51.5,53.5,51.5,52.5
20131125,51,52.5,51,52.5
20131122,52.5,53,52.25,52.25
20131121,52.5,53.25,52.25,52.5
20131120,55,55.5,53.5,53.5
20131119,56,56.25,55.25,55.5
20131118,56,56.75,56,56.5
20131115,56.25,56.25,55.75,55.75
20131114,55.5,56.25,55.5,55.5
20131113,56,56.5,55.75,56
20131112,56,56.75,55.75,56.75
20131111,56.25,56.25,55.5,56
20131108,56.75,57.75,55,57.5
20131107,57.5,58.5,56.75,56.75
20131106,56.5,58,55.75,57.5
20131105,55.75,56.75,55.75,56.5
20131104,56.25,56.5,55.75,56
20131101,58,58,57.25,57.25
20131031,58.5,58.5,57,58.25
20131030,58.75,58.75,57.5,58.5
