date,open,high,low,close
20141107,20.1,20.3,20,20.2
20141106,20.1,20.1,20,20.1
20141105,20.2,20.2,20,20.1
20141104,20.2,20.2,20,20.1
20141103,20.4,20.4,20.1,20.2
20141031,20.3,20.4,20.2,20.4
20141030,20.4,20.4,20.2,20.3
20141029,20.2,20.6,20.1,20.4
20141028,20.1,20.2,20,20.1
20141027,20.1,20.2,20,20
20141024,20.1,20.2,20.1,20.1
20141022,20,20.2,20,20
20141021,20.2,20.2,20,20
20141020,20,20.1,20,20
20141017,20.2,20.2,19.9,19.9
20141016,20.4,20.4,20.2,20.2
20141015,20.5,20.7,20.3,20.3
20141014,20.4,20.7,20.3,20.4
20141013,20.9,20.9,20.4,20.5
20141010,21,21.1,20.9,21
20141009,20.7,21.4,20.7,21.3
20141008,20.5,20.7,20.4,20.6
20141007,21.3,21.3,20.6,20.7
20141006,21.9,22,21.3,21.3
20141003,22,22.2,21.9,22
20141002,22.9,22.9,22.4,22.5
20141001,23,23,22.8,22.9
20140930,23,23,22.9,22.9
20140929,23.2,23.2,23,23.1
20140926,23.1,23.2,23,23.2
20140925,23,23.2,22.9,23.1
20140924,23,23,22.9,23
20140923,23,23.3,22.8,23
20140922,23.3,23.3,22.8,22.8
20140919,23.6,23.6,23.3,23.5
20140918,23.8,23.8,23.5,23.6
20140917,24.3,24.3,23.5,23.6
20140916,24.4,24.5,24.2,24.3
20140915,24.5,24.6,24.4,24.4
20140912,24.7,24.7,24.5,24.6
20140911,24.8,24.8,24.6,24.7
20140910,24.7,24.7,24.3,24.7
20140909,25.25,25.25,24.7,24.8
20140908,25.25,25.5,25,25.25
20140905,25,25.25,25,25.25
20140904,25.25,25.5,25,25
20140903,25.25,25.5,25,25
20140902,25.25,25.5,25.25,25.25
20140901,25.25,25.25,25,25.25
20140829,25,25.25,25,25.25
20140828,25.25,25.25,25,25.25
20140827,25.25,25.5,25.25,25.25
20140826,25.25,25.5,25.25,25.25
20140825,25.5,25.5,25.25,25.25
20140822,25.25,25.5,25.25,25.5
20140821,25.5,25.5,25.25,25.25
20140820,25.75,25.75,25,25.5
20140819,25.5,25.75,25.25,25.5
20140818,25.5,25.75,25.25,25.5
20140815,25.25,25.5,25.25,25.5
20140814,25.5,25.5,25.25,25.5
20140813,25.5,25.75,25.25,25.5
20140808,25.25,25.5,25,25.5
20140807,25.5,25.5,25.25,25.25
20140806,25.75,25.75,25.5,25.5
20140805,25.5,26,25.5,25.5
20140804,25.5,25.75,25.5,25.5
20140801,25.5,25.75,25.25,25.75
20140731,25.75,26,25.5,25.75
20140730,26.25,26.25,25.75,25.75
20140729,26,26.25,26,26.25
20140728,26,26.25,26,26
20140725,26.25,26.25,26,26
20140724,26.25,26.5,26,26.25
20140723,26.25,26.5,26.25,26.5
20140722,26.75,27,26.25,26.25
20140721,26.75,27,26.5,26.75
20140718,26.5,27,26.5,26.75
20140717,26.75,27,26.5,26.75
20140716,26.75,27,26.75,26.75
20140715,27,27.25,26.5,26.75
20140714,27,27.25,26.75,26.75
20140710,27.25,27.25,26.75,27
20140709,26,27.25,26,27
20140708,26,26.25,26,26
20140707,26.25,26.25,26,26.25
20140704,26,26.25,26,26
20140703,26,26.25,26,26
20140702,26.25,26.25,26,26
20140630,26.25,26.25,26,26.25
20140627,26.25,26.25,26,26
20140626,26.25,26.5,26,26
20140625,26.5,26.5,26,26.25
20140624,26,26.5,26,26.25
20140623,26,26.25,26,26
20140620,26,26.25,25.75,26
20140619,26,26.25,25.75,26
20140618,26.25,26.25,25.75,26
20140617,26.5,26.5,26.25,26.25
20140616,26.25,26.5,26,26.25
20140613,26.25,26.5,26,26.25
20140612,26.5,26.5,26.25,26.25
20140611,26.5,26.75,26.25,26.25
20140610,26.5,26.75,26.25,26.5
20140609,26.75,27,26.25,26.25
20140606,26.75,27,26.5,26.75
20140605,27,27,26.5,26.5
20140604,27.5,27.5,27,27
20140603,27,27.5,26.75,27.5
20140602,26.25,26.75,26,26.75
20140530,26,26.25,26,26
20140529,26,26.25,26,26
20140528,26.5,26.75,25.75,26
20140527,26.25,26.5,26.25,26.5
20140526,26.25,26.5,26,26.25
20140523,25.5,26.25,25.5,26.25
20140522,26.5,26.75,26.25,26.5
20140521,26.5,26.5,26.25,26.5
20140520,26.25,26.5,26,26.5
20140519,26.5,26.75,26.25,26.5
20140516,26.5,26.75,26.5,26.5
20140515,26.75,26.75,26.5,26.75
20140514,26.75,27,26.75,27
20140512,27,27,26.5,27
20140509,27.25,27.25,26.5,26.75
20140508,28,28,27.25,27.25
20140507,28,28,27.75,28
20140506,28.25,28.5,28,28.25
20140502,28.5,28.75,28.25,28.25
20140430,28.5,28.75,28.25,28.5
20140429,28.75,28.75,28.5,28.75
20140428,28.75,29,28.5,28.75
20140425,29,29,28.5,28.75
20140424,28.75,29,28.75,28.75
20140423,29.25,29.25,28.75,28.75
20140422,28.75,29,28.75,29
20140421,28.75,29.25,28.5,29
20140418,28.75,29,28.75,28.75
20140417,28.5,28.75,28.5,28.75
20140416,28.25,28.5,28.25,28.5
20140411,28.5,28.75,28.25,28.5
20140410,28.5,28.75,28.5,28.5
20140409,28.5,28.75,28.25,28.5
20140408,29,29,28.25,28.25
20140404,29,29.5,29,29.25
20140403,29.25,29.5,29,29
20140402,29.25,29.5,29,29.25
20140401,29.25,29.25,28.75,29
20140331,29,29.5,29,29.25
20140328,28.75,29,28.5,29
20140327,28.5,28.75,28.25,28.5
20140326,28.25,28.75,28.25,28.25
20140325,28.75,28.75,28.5,28.5
20140324,28.75,29,28.5,28.75
20140321,29,29,28.5,28.75
20140320,28.5,28.75,28.25,28.75
20140319,28.75,29,28.5,28.5
20140318,28.75,29,28.75,28.75
20140317,29.25,29.25,29,29
20140314,29.25,29.5,29,29.25
20140313,29.25,29.5,29,29.25
20140312,29.5,29.5,29,29
20140311,28.75,29.5,28.75,29.5
20140310,29.25,29.5,28.75,29
20140307,30.75,30.75,30.25,30.75
20140306,31,31,30.25,30.5
20140305,30.5,31,30.5,30.5
20140304,30.25,30.75,30.25,30.5
20140303,30,30.5,30,30.25
20140228,31,31,29.75,30.25
20140227,31,31,30.75,31
20140226,30.5,31.25,30.25,31
20140225,30.5,31,30.5,30.5
20140224,30.5,30.5,29.75,30.5
20140221,30.75,31,30.25,30.5
20140220,31.5,31.75,30.75,31
20140219,31.5,31.75,31,31.75
20140218,31.5,31.5,30.25,31.5
20140217,30.75,31.5,30.5,31.25
20140213,29.5,30.25,29.25,30
20140212,28.5,29,28.25,29
20140211,28.25,28.5,28,28.25
20140210,28,28.5,28,28.25
20140207,27.75,28.25,27.75,28
20140206,28,28.5,27.5,27.5
20140205,28.5,28.5,28,28
20140204,28.5,28.5,28.25,28.5
20140203,28.75,28.75,28.25,28.75
20140131,27.75,28.75,27.75,28.5
20140130,28,28.25,27.5,27.75
20140129,27.75,28.25,27.5,28
20140128,27.75,27.75,27.5,27.5
20140127,27.75,27.75,27.5,27.75
20140124,28,28.25,27.75,27.75
20140123,28,28.25,27.75,28.25
20140122,28,28,27.75,27.75
20140121,28,28.5,28,28.25
20140120,28,28,27.75,28
20140117,27.75,28.5,27.75,28
20140116,27.75,28,27.5,27.75
20140115,27.75,27.75,27.5,27.75
20140114,27.75,28,27.25,28
20140113,27.5,28.25,27,28
20140110,27.5,27.5,27,27.5
20140109,27.5,27.75,27.25,27.5
20140108,27.75,27.75,27.25,27.5
20140107,27.5,28,27.5,28
20140106,27.5,27.75,27.25,27.75
20140103,27.5,27.75,27,27.75
20140102,28.5,29,27.5,27.5
20131227,29.25,29.25,28.5,29
20131226,29.25,29.5,28.75,28.75
20131225,29.25,29.25,29,29
20131224,29.5,29.5,29,29
20131223,29.25,29.25,28.75,29.25
20131220,29,29.5,28.75,29.25
20131219,29.25,29.5,29,29
20131218,29,29.5,29,29.25
20131217,28.75,29.25,28.75,29
20131216,29,29.25,28.5,28.5
20131213,29,29.5,28.75,29.25
20131212,29.5,29.5,28.75,29
20131211,29.5,29.5,29.25,29.5
20131209,29.25,29.5,29.25,29.5
20131206,29.5,29.75,29,29.25
20131204,29.75,30,29.25,29.5
20131203,29.5,30,29.25,29.75
20131202,29.5,29.75,29.25,29.5
20131129,29.5,29.75,29.25,29.75
20131128,30,30.25,29.5,29.5
20131127,29.5,30,29.5,29.75
20131126,29.75,30.25,29.5,29.75
20131125,30,30.5,29.5,30.25
20131122,31.5,31.5,29.75,30.25
20131121,32.25,32.25,31.25,31.5
20131120,33.5,33.5,32.5,32.5
20131119,33.5,33.5,33,33.25
20131118,33.25,33.75,33.25,33.5
20131115,33.75,33.75,33.25,33.5
20131114,33.5,33.75,33.25,33.5
20131113,33.5,34,33.25,33.5
20131112,33.75,34,33.5,33.5
20131111,33.25,33.5,33,33.5
20131108,34,34.25,33.5,33.5
20131107,33.5,34.5,33.5,34
20131106,33.75,34,33.5,33.5
20131105,33,33.75,33,33.75
20131104,33.25,33.75,33,33.25
20131101,34,34.25,33.5,34
20131031,35.25,35.25,34.5,34.75
20131030,36,36.25,34.25,34.75
20131029,35,36,35,35.75
20131028,34,35.5,34,35
20131025,33.5,34,33.25,34
20131024,33.25,33.75,33.25,33.5
20131022,33.25,33.75,32.75,33.75
20131021,34.25,34.25,33,33.25
20131018,34,34.25,33.5,34.25
20131017,33.75,34,33.25,33.75
20131016,33.5,34,33.25,33.5
