date,open,high,low,close
20141107,58.75,58.75,58,58
20141106,59,59,58.25,58.5
20141105,58.75,59,58,59
20141104,58.25,59,58.25,59
20141103,58,58.5,57.5,58.25
20141031,57.5,57.75,57,57.75
20141030,57,57.75,56.5,57.5
20141029,56.5,57,55.75,56.5
20141028,57.5,57.75,56,56
20141027,58.5,58.5,57.5,57.5
20141024,59.25,59.25,58.25,58.25
20141022,58.5,59.25,58.25,59.25
20141021,58,58.75,58,58
20141020,59,59,57.75,58
20141017,59,59.5,57.5,57.75
20141016,60.5,60.5,59.25,59.25
20141015,61.5,61.5,60.75,61
20141014,60.75,61.75,60.75,61.5
20141013,61,61.25,60.5,60.75
20141010,61.25,61.75,61,61.5
20141009,61,62,60.25,61.75
20141008,61.75,61.75,60,60
20141007,86.5,86.5,84.75,86.5
20141006,88.75,88.75,85.75,86.5
20141003,87.25,88,86.5,88
20141002,89.25,90,87,87.25
20141001,90.25,90.25,89.25,89.5
20140930,87.5,90,87.5,90
20140929,89,89.75,86.5,88
20140926,88.5,88.75,88.25,88.75
20140925,88.75,88.75,87.75,88.25
20140924,88.5,88.5,87.5,87.75
20140923,87.75,88.25,87.75,88
20140922,87.25,88,87.25,87.5
20140919,86,88.25,85.75,86.5
20140918,84,85.5,84,85.5
20140917,85,85.25,83.5,84
20140916,84.5,86.5,84.5,85
20140915,84.5,85.5,84,84.5
20140912,84.5,85,84,84.5
20140911,84.5,85,83.75,84.25
20140910,85.75,86,84.5,84.5
20140909,87.25,87.5,86.25,86.25
20140908,87.75,88.5,86.75,87
20140905,86.25,87.5,86,86.75
20140904,85,88,85,86
20140903,84.75,85.5,84.25,85
20140902,84,84.25,83.5,84.25
20140901,84.75,85.25,83.75,84
20140829,82.75,84,82.75,84
20140828,84,84.25,83,83.25
20140827,82.75,86,82.75,84
20140826,82.5,82.75,81,82
20140825,80.5,81.75,80.5,81.25
20140822,82.5,82.75,80.5,80.5
20140821,80.5,83.25,79.5,81.75
20140820,83.25,84,80.25,80.5
20140819,83,85,83,83.5
20140818,85.25,86,82.75,83
20140815,87.5,88,85.25,85.25
20140814,90.75,91,87.5,88.25
20140813,90.75,90.75,89.5,90.25
20140808,92,92.5,91.5,92.25
20140807,93,93,92,92.5
20140806,91.25,94,91.25,92.5
20140805,93.25,93.25,92,92
20140804,92.25,93.5,92.25,93.25
20140801,92.75,93.5,92,93
20140731,93.5,94.75,93,93
20140730,92,94,91.25,94
20140729,94.25,94.25,91.25,92.5
20140728,94.25,95.5,93.5,93.75
20140725,92.25,94.5,92,94
20140724,90.75,92.25,90.75,91.5
20140723,91,92,90.5,90.75
20140722,90,91.5,89.25,90
20140721,90.25,91.5,88.5,89.75
20140718,87.75,92,87.5,90.75
20140717,87.25,88.25,87.25,87.75
20140716,88,89,87,87.25
20140715,88,88,86.75,86.75
20140714,87,87.75,87,87.5
20140710,86.75,87.25,86.75,86.75
20140709,87.5,88.25,86.75,86.75
20140708,88.75,88.75,87.25,87.5
20140707,88.25,89,87.75,88.75
20140704,87.25,88.75,87,88
20140703,86.75,87,86.25,87
20140702,89,89,86,86
20140630,89,89,87,88
20140627,87.5,89,86.5,89
20140626,86,87.5,86,87.25
20140625,84,86,84,86
20140624,84.5,85,82,83
20140623,81.25,84,81,84
20140620,81.5,81.5,80.5,80.75
20140619,80,81.25,79.25,81.25
20140618,80,80.5,79.5,80
20140617,79.25,80,79.25,79.75
20140616,78,79.75,78,79.25
20140613,80.25,80.25,78,78.25
20140612,79,81,79,80
20140611,80,80.75,78.75,80
20140610,81,81.75,80.5,80.5
20140609,80.75,81,80,81
